id,name,parent_name,status,template_name,analytics_profile_id,client_id
1,Equipment,Asset,ACTIVE,Equipment,NULL,nectarit
2,ELECTRICAL SYSTEMS,Equipment,ACTIVE,Electrical,NULL,nectarit
3,Control Systems,Equipment,ACTIVE,ControlSystems,NULL,nectarit
4,Wind Monitor System,Equipment,ACTIVE,WindMonitorSystem,NULL,nectarit
5,MECHANICAL SYSTEMS,Equipment,ACTIVE,Mechanical,NULL,nectarit
6,LIFE & SAFETY SYSTEMS,Equipment,ACTIVE,LifeAndSafety,NULL,nectarit
7,PLUMBING SYSTEMS,Equipment,ACTIVE,Plumbing,NULL,nectarit
8,HVAC SYSTEMS,Equipment,ACTIVE,HVAC,NULL,nectarit
9,Photovoltaic Light Power Meter,Electrical,ACTIVE,PhotovoltaicLightPowerMeter,NULL,nectarit
10,Variable Frequency Drive,Electrical,ACTIVE,VariableFrequencyDrive,NULL,nectarit
11,Power Factor Correction Unit,Electrical,ACTIVE,PowerFactorCorrectionUnit,NULL,nectarit
12,Virtual Machine,Electrical,ACTIVE,VirtualMachine,NULL,nectarit
13,Metering,Electrical,ACTIVE,Metering,NULL,nectarit
14,Emergency Power,Electrical,ACTIVE,EmergencyPower,NULL,nectarit
15,Clean Agent System,Electrical,ACTIVE,CleanAgentSystem,NULL,nectarit
16,Electrical Panels,Electrical,ACTIVE,ElectricalPanels,NULL,nectarit
17,Photovoltaic System,Electrical,ACTIVE,PhotovoltaicSystem,NULL,nectarit
18,Distribution Boards,Electrical,ACTIVE,DistributionBoards,NULL,nectarit
19,Lighting,Electrical,ACTIVE,Lighting,NULL,nectarit
20,Photovoltaic Light Power,Electrical,ACTIVE,PhotovoltaicLightPower,NULL,nectarit
21,SMDB PV Meter,Metering,ACTIVE,SMDBPVMeter,NULL,nectarit
22,BTU Sub Meter,Metering,ACTIVE,BTUSubMeter,NULL,nectarit
23,Generator Meter,Metering,ACTIVE,GeneratorMeter,NULL,nectarit
24,BTU Meter,Metering,ACTIVE,BTUMeter,NULL,nectarit
25,LV Panel Sub Meter,Metering,ACTIVE,LVPSubMeter,NULL,nectarit
26,LV Panel Meter,Metering,ACTIVE,LVPMeter,NULL,nectarit
27,Water Meter,Metering,ACTIVE,WaterMeter,NULL,nectarit
28,Renewable Meter,Metering,ACTIVE,RenewableMeter,NULL,nectarit
29,LV Panel,Metering,ACTIVE,LVPanel,NULL,nectarit
30,DB Meter,Metering,ACTIVE,DBMeter,NULL,nectarit
31,MCCP Meter,Metering,ACTIVE,MCCPMeter,NULL,nectarit
32,SMDB Meter,Metering,ACTIVE,SMDBMeter,NULL,nectarit
